HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"YearBuilt",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
127,127-019,TM Cobb Co. Building,535-345-07,270,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,1894,William Sterling Hebbard,,,
127,127-020,Buel - Town Co. Building,535-344-01,275,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #28,,1887,Hebbard and Gill,,,
127,127-021,Pioneer Wharehouse Addn.,535-342-12,310,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,1920,,,,
127,127-022,Heartland Meat Co.,535-342-07,322,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #57,industrial,C. 1885,Constructed under supervision of developer Daniel Choate,,,
127,127-023,Grand Pacific Hotel,535-342-10,366,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #25,Italianate/Victorian,1887,,,,
127,127-024,Brunswig Drug Company,535-343-16,363,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #26,Spanish Revival,1888,,,,
127,127-025,Café Building,535-084-01,467,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #23,various,1874,,,,
127,127-026,Callan Hotel,535-082-08,502,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #58,,C. 1904,,,,
127,127-027,Manila Café,535-083-06,515,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #29,asian influencecd,1931-1938,,,,
127,127-028,Yamada Building,535-082-18,516,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,1913,,,,
127,127-029,Higgins Building,535-083-16,527,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #24,,1873,William Jorres,,,
127,127-030,Lincoln Hotel,535-082-12,536,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #22,Italian/Art Deco,1913,D.H. Holmes,,,
127,127-031,Stingaree Building,535-082-13,540,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #60,,C. 1885,,,,
127,127-032,Loewenstein Building,535-082-14,544,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,C. 1887,,,,
127,127-033,Marin Hotel,535-082-15,552,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #21,Victorian,1888,,,,
127,127-034,Montijo Building,535-083-16,554,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-035,Timkin Building,535-082-17,562,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #62,Romanesque/Modern,C. 1887,Joseph Falkenham,,,
127,127-036,McGurck Block Building,535-094-07,611,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #19,Classic Revival,1887,,,,
127,127-037,Backesto Building,535-095-06,614,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #20,Classical Revival,1884,"G.I. Burkett, M.A. Perry and Deter Christenson",,,
127,127-038,Combination Store,535-094-06,621,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #64,Victorian,1880,,,,
127,127-039,Yuma Building,535-094-16,631,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #17,Victorian,1886,,,,
127,127-040,Casino Theatre,535-094-03,643,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #65,,1912,Built by Chaffey Concrete Construction Co,,,
127,127-041,Bijou Theatre,535-095-06,658,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-042,Old City Hall,535-095-07,664,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #15,Florentine Italian,1874,William Lacy,,,
127,127-043,Bancroft Building,535-094-01,665,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #16,,1889?,,,,
127,127-044,Cole Block Building,535-092-06,702,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #14,,1891-1892,John B. Stannard,,,
127,127-045,Llewlyn Building,535-092-07,722,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #12,Victorian,1887,,,,
127,127-046,Effron Building,535-093-04,739,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-047,Pat's Little Theatre,535-092-10,746-748,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-048,Dunham Building,535-092-11,750,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-049,Pierce-Field Building,535-093-02,753,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-050,Dream Theatre,535-093-02,755,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #74,,1885,,,,
127,127-051,Fritz Bulding,535-092-12,760,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-052,Loring Building,535-092-13,764,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-053,Spencer Ogden Building,535-092-15,770,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #11,French Renaissance,1874,William Lacy,,,
127,127-054,Marston Building,533-575-05,809,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #9,Italianate/Victorian,1881,Stewart Brothers,,,
127,127-055,Hubbell Building,533-575-04,813-823,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #8,Italianate/Victorian,1886,,,,
127,127-056,Merchantile Building,533-576-07,822,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #66,,1895,,,,
127,127-057,Nesmith-Greeley Building,533-575-03,825,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #7,,1888,Comstock and Trotsche,,,
127,127-058,Ingersoll-Tutton,533-576-09,832,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-059,Louis Bank of Commerce,533-575-02,835,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #6,Baroque Revival,1888,Clements and Stannard Architects,,,
127,127-060,San Diego Hardware,533-576-10,840,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #70,Victorian,1910,T.W. Coates of Standard Iron Works,,,
127,127-061,Onyx Building,533-576-14,852,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-062,Robinson Building,533-574-07,903,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #4,Chicago School,1913,Nathan Watts,,,
127,127-063,1st National Bank Building,533-573-05,904,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1982-05-23 #5,"Originally Baroque Revival, remodeled to Academic Classicism",1883,,,,
127,127-064,Howard Building,533-574-05,933,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #71,Art Deco,1904,,,,
127,127-065,Dalton Building,533-574-04,939,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #3,Art Deco,C. 1911,,,,
127,127-066,Woolworth Building,533-574-02,945,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #72,Modified Victorian,C. 1888,,,,
127,127-067,Granger Building,533-573-09,964,5th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #1,Romanesque,1904,William Quyale,,,
127,127-068,Frost Building,535-550-01,170,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #50,Spanish Revival,,,,,
127,127-069,Brunswig Drug Acid Yard,535-343-06,348,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #51,,,,,,
127,127-070,Produce Market Building,535-084-10,454,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #54,warehouse,1918,,,,
127,127-071,New York Hotel Building,535-083-15,520,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #55,,,,,,
127,127-072,Sterling Hardware Building,535-083-11,530,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,C. 1924,W.E. Kier Construction Company,,,
127,127-073,Simmons Building,535-083-12,540,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,1906,"Edwin Blachman, of Blachman, Clemens and Stannard",,,
127,127-074,Alan John Factory,535-083-13,568,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #56,industrial/retail,1908,,,,
127,127-075,Gaslamp Galleria Building,535-093-10,744,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #67,,1927,,,,
127,127-076,Snyder Building,535-093-11,748,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,,,,,
127,127-077,Sheldon Block Building,533-575-07,822,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #68,commercial,C. 1930,,,,
127,127-078,St. James Hotel,534-575-08,844,6th Avenue,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #69,,1912-1914,Henry Harms Preibisius,,,
127,127-079,Samuel I. Fox Building,533-574-11,531,Broadway,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #2,Mission Revival and Mediterranean,1929,William Templeton Johnson,,,
127,127-080,Rambo Building,535-092-01,409,F Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,1910,Edward Rambo,,,
127,127-081,Keating Building,533-576-06,432,F Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #10,Romanesque Revival,1890,George J. Keating,,,
127,127-082,William Penn Hotel,535-093-01,509,F Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #73,,C. 1914,,,,
127,127-083,Hill Building,535-093-12,527,F Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #13,stone & pressed brick,1897,,,,
127,127-084,Frey Block Building,535-081-17,345,Market Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #41,Victorian,,,,,
127,127-085,Lester Hotel,535-082-01,401,Market Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #42,Victorian,1904,William Quyale,,,
127,127-086,Broker's Building,"535-095-04535-095-05",422,Market Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,,Victorian,1889,B. McDougall,,,
127,127-087,Young Building,535-082-02,421,Market Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #63,Art Deco influences,C. 1925,,,,
127,127-088,I.O.O.F. Building,535-094-08,526,Market Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #18,Victorian Classic Revival,1882,,,,
127,127-089,Greenbaum Market Building,535-084-09,528,J Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,NR 1980-05-23 #53,warehouse,C.1915,,,,
127,127-090,Engebretson Building,535-343-10,541,J Street,San Diego,92101,Centre City,Gaslamp,3/23/83,,,,C. 1914,,,,
128,,Heritage Place La Jolla,351-102-09,7210,La Jolla Boulevard,San Diego,92037,La Jolla,La Jolla,7/7/78,,HRB# 133,,1917,,,,
129,,Sherman Judson House,533-252-10,1930,First Avenue,San Diego,92101,Uptown,Middletown,9/1/78,,,,1887,,,,
130,130 001-060,Greater Golden Hill Historic District,Various,Various,"Bounded by Russ Boulevard, Hwy 94, 25th Street and 24th Street.",San Diego,92102,Greater Golden Hill,Golden Hill,"12/04/70, 08/0577, 10/06/78, 12/15/84, 01/23/85, 06/26/85",,,,,,,,
130,130-001,,534-141-01,2400,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,, ,Prairie,1913,,,,
130,130-002,M.E. Meyers House,534-141-04,2430,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Spanish Colonial Revival,1925,Henry Harms Prebisius,,,
130,130-003,,534-141-05,2434,A Street,San Diego,92102,Greater Golden Hill,Golden Hill, ,,,Western Shingle,1905,,,,
130,130-004,Charles Kelly House,534-141-06,2448,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,1903,Charles Kelly,,,
130,130-005,,534-141-07,2450-52,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-006,William Hugh Strong House,534-141-08,2460,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,English Cottage,1905,Emmor Brooke Weaver,,,
130,130-007,Fehlman Morgan House,534-141-09,2470,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,"Craftsman, Swiss Chalet variant",1911,Dell W. Harris,,,
130,130-008,,534-142-14,2476,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Prairie Box,,,,,
130,130-009, ,534-141-11,1316,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Craftsman Bungalow,,,,,
130,130-010,,534-141-12,1302,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Spanish Colonial Revival,C. 1923,,,,
130,130-011,,534-142-05,2417,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Classic Box,,,,,
130,130-012,,534-142-06,2427,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Carpenter Victorian,,,,,
130,130-013,,534-142-10,2459-63,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Spanish Colonial Revival,,,,,
130,130-014,,534-142-11,2465,A Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-015,,534-142-13,1246-50,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,1/23/85,,,Craftsman,,,,,
130,130-016,,534-142-14,1236,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-017,,534-142-26,2430,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical,,,,,
130,130-018,Clark McKee/William Stewart House,534-142-20,2460,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Queen Anne,1897,Clark McKee,,,
130,130-019,Leroy Wright House,534-142-19,2470,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,1898,William Quayle,,,
130,130-020,,534-142-17,2492,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,1/23/85,,,Classic Box,,,,,
130,130-021,,534-143-01,1171,24th Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-022,,534-271-19,2425,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-023,James M. Steade House,534-271-17,2435,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,English Cottage,1905,,,,
130,130-024,,534-143-07,2451,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Classical Revival,,,,,
130,130-025,,534-271-16,2463,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Craftsman Bungalow,,,,,
130,130-026,,,1148,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,6/26/85,,,Mission Revival,,,,,
130,130-027,,534-271-13,2440,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Mission Revival with Classical influence,,,,,
130,130-028,,534-271-12,2454,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Prairie,,,,,
130,130-029,,534-272-02,2419,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-030,,534-272-05,2451,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Prairie,,,,,
130,130-031,,534-272-06,2459,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mission Revival,,,,,
130,130-032,,534-272-07,2467-69,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-033,,534-272-08,2475,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,6/26/85,,,Mission Revival,,,,,
130,130-034,,534-272-09,2483,C Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mission Revival,,,,,
130,130-035,Quartermass-Wilde House,534-272-19,2404,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,HRB #39,Queen Anne,1896,,,,
130,130-036,,534-272-18,2424,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mediterranean Revival,,,,,
130,130-037,La Cresta Apartments,534-272-17,2426-2432,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mediterranean Revival,,,,,
130,130-038,,534-272-16,2434-36,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Spanish Eclectic,,,,,
130,130-039,,534-272-15,2442-48,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mission Revival Eclectic,,,,,
130,130-040,A.H. Frost House,534-272-14,2456,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,1897,W.S. Hebbard & Irving Gill,,,
130,130-041,,534-272-13,2466-68,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Spanish Colonial/Mediterranean Revival,,,,,
130,130-042,,534-391-01,2411,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Art Deco,1930,,,,
130,130-043,Broadway Apartments,534-391-16,2417,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Mediterranean Revival,,,,,
130,130-044,,,2437,Broadway,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Spanish Eclectic,,,,,
130,130-045,George Garrettson House,534-391-15,2410,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,1895,Irving Gill (remodeled form),,,
130,130-046,,534-391-13,2412-22,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Spanish Bungalow,,,,,
130,130-047,,534-391-11,2446,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,12/15/84,,,Craftsman Bungalow,,,,,
130,130-048,Alfred Haines House,534-391-09,2470,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,NR 1992-07-30,Craftsman,1908,Ralph Haines,,,
130,130-049,Patrick Martin House,534-391-08,2496,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,1905,,,,
130,130-050,,,2415,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,,,,,
130,130-051,Rynearson House,534-392-06,2441,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,HRB #121,Classical Revival with Chinese influences,1898,,,,
130,130-052,,534-392-09,2467,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-053,,534-392-10,2475,E Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
130,130-054,,534-392-11,838,25th Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Victorian-Eastlake,,,,,
130,130-055,,534-392-23,2404,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,English Revival Tudor,,,,,
130,130-056,,534-392-22,2420,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical Revival,,,,,
130,130-057,,534-392-20,2436,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Classical features,,,,,
130,130-058,,534-392-19,2444,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Spanish and Classical influences,C. 1910,,,,
130,130-059,,534-392-18,2452,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Mission Bungalow,,,,,
130,130-060,,534-392-17,2460,F Street,San Diego,92102,Greater Golden Hill,Golden Hill,10/6/78,,,Craftsman,,,,,
131,,Western Metal Building,535-355-09,215,Seventh Avenue,San Diego,92101,Centre City,East Village,11/3/78,,,,1909-10,,,,
132,,The Watts Building,533-575-01,525,E Street,San Diego,92101,Centre City,Gaslamp,12/1/78,,NR 1979-04-26,,1913,,,,
133,,Galusha B. Grow Cottage,351-102-09,7210,La Jolla Boulevard,San Diego,92037,La Jolla,La Jolla,2/16/79,,HRB# 128,,1895,,,,
134,,Chaplain's Residence,444-560-30,836,East Washington Street,San Diego,92103,Uptown,Hillcrest,2/2/79,,NR 1978-11-24,,1896,,,,
135,,Medico-Dental Building,533-433-06,233,A Street,San Diego,92101,Centre City,Cortez,3/2/79,,NR 1979-09-04,,1927,Frank W. Stevenson,,,
136,,Broderick-Kenny House,533-173-04,2133,Second Avenue,San Diego,92101,Uptown,Middletown,5/4/79,,,,1888,,,,
137,,The Royal Pie Bakery,535-081-15,560,Fourth Avenue,San Diego,92101,Centre City,Gaslamp,6/1/79,,,,1894,,,,
138,,The Gorham House,538-320-06,2040-2042,Kearney Avenue,San Diego,92102,Southeastern San Diego,Logan Heights,8/3/79,,,,1894-95,,,,
139,,Elk's Hall,533-372-01,350,Cedar Street,San Diego,92101,Centre City,Cortez,11/2/79,,,,,Quayle Brothers,,,
140,,Robert E. Lee Hotel /Lyceum Theater /Commodore Hotel,533-610-21,815: 314,Third Avenue (Hotel): F Street (Theatre),San Diego,92101,Centre City,Horton Plaza,1/11/80,,NR 1980-05-31,,1913,,,,
141,,Hotel Knickerbocker,,315,E Street,San Diego,92101,Centre City,Horton Plaza,1/11/80,,,,1913,,,,
142,,Neresheimer-Tingley House,532-380-08,430,Silvergate Avenue,San Diego,92106,Peninsula,Wooded Area,3/7/80,,,,1903,,,,
143,,Chicano Park,,,"Bounded by I-5 Fwy, Crosby Street, Naional Avenue, Newton Avenue, Dewey Street, National Avenue and Evans Street.",San Diego,92113,Barrio Logan,Barrio Logan,3/7/80,,,,1970-71,,,,
144,,Pythian Building,,870,Third Avenue,San Diego,92101,Centre City,Horton Plaza,4/8/80,,NR 1980-11-14,,,,,,
145,,McClintock Storage Warehouse /Bekins Bldg.,533-395-02,1202-1210,Kettner Boulevard,San Diego,92101,Centre City,Columbia,7/1/80,,NR 1980-10-30,,1925,Herbert E. Palmer,,,
146,,Stough-Beckett Cottage,430-183-20,2203,Denver Street,San Diego,92110,Clairemont Mesa,Bay Park,8/5/80,,,Eastlake Victorian,1888,,,,
